ap ,id    ,date    ,hjd          ,ra       ,dec      ,v     ,bv    ,teff  ,feh   ,feh_err,logg  ,logg_err,vsini ,vsini_err,rv        ,rve    ,fwhm      ,ccph  ,instr 
43,100016,20100305,2455260.76182,5.878729,32.734005,16.452,0.986,5352,-0.119,0.058,4.22,0.136,1.37,0.61,-18.216,0.356,11.96,0.8813,chelle
98,100018,20080225,2454521.73659,5.872606,32.759129,16.478,0.834,5864,-0.282,0.057,4.335,0.098,1.82,0.38,29.495,0.728,10.03,0.6601,chelle
54,100018,20080321,2454546.61952,88.089088,32.759125,16.478,0.834,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,29.0945,1.249,33.01,0.7,hydraN
52,100018,20080323,2454548.61608,88.089088,32.759125,16.478,0.834,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,29.0522,0.85,33.29,0.73,hydraN
188,100018,20081023,2454762.86746,5.872606,32.759129,16.478,0.834,5864,-0.105,0.048,4.458,0.085,1.2,0.77,29.549,0.281,11.0533,0.8944,chelle
63,100018,20081124,2454794.94126,5.872606,32.759129,16.478,0.834,5864,-0.115,0.048,4.382,0.097,1.06,0.4,29.472,0.287,10.27,0.8994,chelle
70,100018,20090115,2454846.70022,88.089088,32.759125,16.478,0.834,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,28.2765,2.275,20.62,0.15,hydraN
53,100018,20090213,2454875.69127,5.872606,32.759129,16.478,0.834,5864,-0.134,0.049,4.38,0.097,2.6,0.18,29.808,0.335,10.61,0.8844,chelle
99,100018,20091226,2455191.69619,88.089088,32.759125,16.478,0.834,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,29.6985,0.87,39.21,0.82,hydraN
60,100018,20100105,2455201.66881,88.089088,32.759125,16.478,0.834,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,29.4927,2.843,35.55,0.72,hydraN
26,100018,20101227,2455557.74916,88.089088,32.759125,16.478,0.834,-999,-9.9,-9.9,-9.9,-9.9,-9.9,-9.9,28.2324,0.994,34.23,0.74,hydraN
76,100020,20081124,2454794.94126,5.873569,32.759998,16.587,0.928,5537,-0.137,0.055,4.404,0.107,0.01,0.08,82.812,0.4,11.43,0.8863,chelle
168,100020,20101007,2455476.95385,5.873569,32.76,16.587,0.928,5537,-0.128,0.053,4.457,0.116,0.39,0.27,82.904,0.406,11.98,0.8719,chelle
108,100021,20080228,2454524.68765,5.878652,32.749393,16.704,0.927,5540,-0.137,0.057,4.316,0.112,5.73,0.12,8.436,0.456,12.55,0.8751,chelle
108,100021,20080301,2454526.70915,5.878652,32.749393,16.704,0.927,5540,-0.137,0.056,4.42,0.12,5.97,0.07,9.183,0.956,13.25,0.7184,chelle
195,100021,20081024,2454764.85411,5.878652,32.749393,16.704,0.927,5540,-0.147,0.056,4.346,0.109,7.05,0.13,8.547,0.418,13.31,0.877,chelle
195,100021,20081025,2454764.85411,5.878652,32.749393,16.704,0.927,5540,-0.147,0.056,4.346,0.109,7.05,0.13,8.568,0.418,13.31,0.877,chelle
202,100021,20081108,2454778.78542,5.878652,32.749393,16.704,0.927,5540,-0.137,0.056,4.336,0.112,7.73,0.03,8.75265,0.484,14.57,0.8754,chelle
63,100021,20090213,2454875.69127,5.878652,32.749393,16.704,0.927,5540,-0.08,0.049,4.333,0.126,6.98,0.03,8.451,0.54,13.46,0.8657,chelle
98,100025,20080224,2454520.70357,5.873037,32.747101,17.065,0.992,5334,-0.232,0.058,4.037,0.164,2.26,0.35,8.67,0.825,11.0267,0.6517,chelle
189,100025,20081022,2454761.82812,5.873037,32.747101,17.065,0.992,5334,-0.158,0.063,4.3,0.136,4.51,0.21,9.27115,0.536,12.96,0.8517,chelle
69,100025,20081026,2454765.98197,5.873037,32.747101,17.065,0.992,5334,-0.072,0.058,4.355,0.127,4.53,0.22,8.702,0.497,13.23,0.869,chelle
194,100025,20081108,2454778.78542,5.873037,32.747101,17.065,0.992,5334,-0.131,0.055,4.334,0.152,5.21,0.52,9.29705,0.643,13.32,0.8354,chelle
